ссылка на товар,бренд,наименование,промо цена,регулярная цена,id товара
https://4lapy.ru/catalog/sobaki/tovary-dlya-shchenkov/korm-zaveli-shchenka/Royal_Canin_Medium_Junior_32_suhoy_korm_dlya_shchenkov.html,Royal Canin,"Medium Puppy корм для щенков средних пород 2-12 мес с 2 до 12 месяцев, 3 кг",1904,2239,79897
https://4lapy.ru/catalog/sobaki/korm-sobaki/konservy-korm-sobaki/Yummy_Myasnoy_Delikates_konservirovannyy_korm_dlya_sobak_indeyka_naturalnaya_v_gele.html,Yummy,"Мясной Деликатес консервы для собак, с натуральной индейкой в желе, 240 г",185,185,46901
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Royal_Canin_Medium_Adult_suhoy_korm_dlya_sobak_srednih_porod_ves_vzrosloy_osobi_ot_11_kg_do_25.html,Royal Canin,"Корм сухой для собак средних пород 11-25 кг., пак. 3 кг",1802,2119,84191
https://4lapy.ru/catalog/sobaki/korm-sobaki/konservy-korm-sobaki/Yummy_Myasnoy_Delikates_konservirovannyy_korm_dlya_shchenkov_govyadina_naturalnaya_v_gele.html,Yummy,"Мясной Деликатес консервы для щенков, с натуральной говядиной в желе, 240 г",199,199,46900
https://4lapy.ru/catalog/sobaki/korm-sobaki/konservy-korm-sobaki/AVVA_konservirovannyy_korm_dlya_sobak_so_vkusom_govyadiny_750_g_1005192.html,Aвва,"консервы для собак средних и крупных пород, с говядиной, 750 г",279,279,45712
https://4lapy.ru/catalog/sobaki/korm-sobaki/dieticheskiy-korm-sobaki/Royal_Canin_Hypoallergenicall_Dog_dieticheskiy_suhoy_korm_dlya_sobak.html,Royal Canin,"Hypoallergenic Small Dog Сухой корм диетический для собак малых пород весом менее 10 кг с пищевой аллергией, 1 кг",1579,1579,42654
https://4lapy.ru/catalog/sobaki/korm-sobaki/dieticheskiy-korm-sobaki/vet-life-natural-diet-dog-hypoallergenic-duck-potato.html,Farmina,"Vet Life Hypoallergenic диетический влажный корм для собак, гипоаллергенный, с уткой и картофелем, 300г",459,459,120018
https://4lapy.ru/catalog/sobaki/korm-sobaki/dieticheskiy-korm-sobaki/Purina_Veterinary_Diets_EN_dieticheskiy_suhoy_korm_dlya_sobak_pri_GKT.html,PRO PLAN® Veterinary Diets,"Veterinary Diets EN Gastrointestinal сухой корм для щенков и взрослых собак при расстройствах пищеварения и экзокринной недостаточности поджелудочной железы, 1,5 кг",2525,2525,42636
https://4lapy.ru/catalog/sobaki/korm-sobaki/sukhoy-korm-sobaki/Hills_Standard_suhoy_korm_dlya_sobak_yagnenokris.html,Hill's,"Science Plan Сухой корм для взрослых собак средних пород для поддержания иммунитета, с ягненком и рисом, 12 кг",9199,9199,45780
https://4lapy.ru/catalog/sobaki/tovary-dlya-shchenkov/korm-zaveli-shchenka/farmina-n-d-dog-gf-pumpkin-lamb-blueberry-puppy-mini-800-gr.html,Farmina,"N&D PUMPKIN сухой корм для щенков мелких пород, с ягненком, тыквой и черникой, 2,5кг",3672,4079,119935
https://4lapy.ru/catalog/sobaki/korm-sobaki/dieticheskiy-korm-sobaki/Korm_dlya_sobak_Purina_VetDieta_NA_pri_allergii_suh__pak__3kg_1000613.html,PRO PLAN® Veterinary Diets,"Veterinary Diets HA Hypoallergenic сухой корм для взрослых собак для снижения пищевой непереносимости ингредиентов и питательных веществ, 3 кг",5129,5129,32193
https://4lapy.ru/catalog/sobaki/tovary-dlya-shchenkov/korm-zaveli-shchenka/ownat-classic-korm-sukhoy-dlya-shchenkov-s-kuritsey-new2.html,Ownat,"Junior Classic Сухой корм для щенков, с курицей, 4 кг",1606,1889,140424
https://4lapy.ru/catalog/sobaki/korm-sobaki/dieticheskiy-korm-sobaki/pd-i-d-konservy-dlya-sobak-pri-zabolevaniyakh-zhkt.html,Hill's,"Prescription Diet i/d Влажный диетический корм (консервы) для собак при расстройствах пищеварения, жкт, с индейкой, 360 гр.",477,529,148005
